Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price,dt
1.67,Ideal,D,SI1,G,VG,GIA,14154,2012-10-06
1.06,Very Good,E,SI1,VG,EX,GIA,6003,2012-10-07
2.07,Very Good,H,SI1,EX,EX,GIA,17608,2012-10-08
2.04,Ideal,G,VS1,EX,EX,GIA,30455,2012-10-09
0.93,Ideal,G,SI1,EX,EX,GIA,5126,2012-10-10
1.41,Good,E,VVS2,VG,G,GIA,14853,2012-10-11
1.16,Very Good,I,VS2,VG,EX,GIA,5468,2012-10-12
1.79,Ideal,G,VVS2,VG,VG,GIA,20558,2012-10-13
0.9,Very Good,G,SI1,G,G,GIA,3752,2012-10-14
2.29,Ideal,E,SI1,VG,VG,GIA,21159,2012-10-15
2.0,Very Good,D,VVS1,VG,EX,GIA,46247,2012-10-16
1.01,Very Good,F,VS2,EX,VG,GIA,6951,2012-10-17
0.9,Very Good,I,VVS2,VG,EX,GIA,3916,2012-10-18
1.0,Very Good,D,SI1,VG,G,GIA,5342,2012-10-19
2.18,Signature-Ideal,H,VS2,ID,ID,AGSL,26353,2012-10-20
1.03,Good,I,SI1,EX,VG,GIA,4142,2012-10-21
2.32,Ideal,G,VS2,EX,EX,GIA,31264,2012-10-22
2.08,Ideal,I,VS2,ID,ID,AGSL,17916,2012-10-23
2.2,Very Good,G,VS2,EX,EX,GIA,29496,2012-10-24
0.9,Very Good,F,SI1,G,G,GIA,3854,2012-10-25
0.77,Ideal,I,VS2,VG,EX,GIA,2558,2012-10-26
2.09,Ideal,I,VS2,VG,VG,GIA,17295,2012-10-27
2.01,Very Good,G,VS2,VG,EX,GIA,26069,2012-10-28
2.65,Very Good,E,SI1,VG,EX,GIA,33928,2012-10-29
0.9,Good,D,SI1,VG,VG,GIA,4599,2012-10-30
0.91,Very Good,H,VS1,VG,VG,GIA,4456,2012-10-31
1.1,Ideal,H,VS2,ID,ID,AGSL,6344,2012-11-01
1.12,Very Good,G,SI1,VG,G,GIA,5194,2012-11-02
0.9,Very Good,G,SI1,EX,VG,GIA,3752,2012-11-03
0.8,Ideal,E,VS1,VG,VG,GIA,3714,2012-11-04
1.01,Ideal,H,SI1,EX,EX,GIA,5457,2012-11-05
1.01,Very Good,F,VS2,EX,EX,GIA,7370,2012-11-06
2.03,Very Good,G,SI1,EX,EX,GIA,19966,2012-11-07
2.09,Ideal,E,SI1,ID,ID,AGSL,21150,2012-11-08
1.06,Ideal,G,VVS2,ID,ID,AGSL,7934,2012-11-09
0.9,Good,H,SI1,VG,VG,GIA,3730,2012-11-10
1.1,Very Good,F,VVS1,VG,VG,GIA,10643,2012-11-11
2.0,Very Good,F,VS2,VG,VG,GIA,25311,2012-11-12
0.91,Very Good,H,VS1,VG,G,GIA,4226,2012-11-13
2.01,Very Good,H,VS2,VG,VG,GIA,18641,2012-11-14
1.01,Very Good,F,SI1,G,VG,GIA,5248,2012-11-15
1.63,Good,F,SI1,VG,VG,GIA,13187,2012-11-16
1.07,Ideal,E,VVS2,ID,ID,AGSL,10222,2012-11-17
1.08,Ideal,F,VVS2,VG,VG,GIA,10442,2012-11-18
0.9,Very Good,I,SI1,EX,VG,GIA,3407,2012-11-19
2.02,Very Good,H,SI1,VG,VG,GIA,18236,2012-11-20
1.55,Good,I,SI1,G,G,GIA,7906,2012-11-21
1.02,Ideal,G,VVS2,VG,VG,GIA,7866,2012-11-22
1.28,Ideal,E,VS1,EX,EX,GIA,11419,2012-11-23
1.01,Ideal,G,SI1,VG,VG,GIA,4905,2012-11-24
1.48,Ideal,I,VS2,ID,ID,AGSL,9035,2012-11-25
1.5,Ideal,I,VVS2,EX,EX,GIA,10907,2012-11-26
2.17,Good,H,VS1,VG,EX,AGSL,23335,2012-11-27
1.5,Signature-Ideal,I,VVS2,ID,ID,AGSL,12148,2012-11-28
1.03,Very Good,H,VS1,EX,EX,GIA,5789,2012-11-29
1.04,Ideal,E,VVS2,EX,EX,GIA,10019,2012-11-30
1.11,Ideal,H,VS2,EX,VG,GIA,5940,2012-12-01
1.02,Very Good,F,SI1,EX,EX,GIA,5500,2012-12-02
2.03,Very Good,G,VS2,VG,VG,GIA,23851,2012-12-03
1.0,Good,I,SI1,VG,G,GIA,4273,2012-12-04
1.03,Ideal,H,SI1,EX,EX,GIA,5519,2012-12-05
1.01,Very Good,D,SI1,EX,EX,GIA,6270,2012-12-06
1.11,Very Good,G,VS2,VG,VG,GIA,6685,2012-12-07
1.01,Ideal,E,SI1,EX,VG,GIA,5235,2012-12-08
2.01,Ideal,D,VS2,VG,VG,GIA,31306,2012-12-09
1.17,Ideal,G,VVS1,VG,EX,GIA,9723,2012-12-10
0.77,Ideal,F,VS2,VG,VG,GIA,3197,2012-12-11
2.05,Ideal,G,VS2,EX,EX,GIA,26780,2012-12-12
1.01,Very Good,F,VS2,EX,VG,GIA,7135,2012-12-13
1.02,Ideal,G,VS2,VG,VG,GIA,7083,2012-12-14
1.04,Ideal,G,SI1,EX,EX,GIA,5311,2012-12-15
2.0,Ideal,H,VS1,VG,G,GIA,21420,2012-12-16
2.01,Very Good,H,VS1,EX,EX,GIA,20818,2012-12-17
2.05,Ideal,F,VVS2,VG,VG,GIA,36773,2012-12-18
1.01,Very Good,I,SI1,VG,G,GIA,4186,2012-12-19
1.31,Ideal,F,VS2,EX,EX,GIA,11829,2012-12-20
1.0,Fair,E,VS1,VG,VG,GIA,6918,2012-12-21
1.01,Very Good,E,VS2,G,G,GIA,6771,2012-12-22
0.9,Very Good,I,SI1,VG,EX,GIA,3274,2012-12-23
2.14,Ideal,G,VVS2,EX,EX,GIA,30013,2012-12-24
2.0,Very Good,G,SI1,VG,VG,GIA,18186,2012-12-25
1.01,Ideal,G,VVS2,EX,EX,GIA,8029,2012-12-26
1.05,Very Good,G,IF,VG,EX,GIA,9077,2012-12-27
1.03,Ideal,E,VVS2,EX,VG,GIA,10004,2012-12-28
1.22,Ideal,H,VVS2,VG,EX,GIA,8014,2012-12-29
0.81,Ideal,I,VS2,EX,VG,AGSL,2444,2012-12-30
0.81,Ideal,F,VVS2,EX,VG,GIA,4630,2012-12-31
2.15,Ideal,I,IF,VG,VG,GIA,24385,2013-01-01
0.91,Good,G,VS2,G,G,GIA,4125,2013-01-02
2.05,Very Good,G,VS2,EX,VG,GIA,24082,2013-01-03
0.77,Ideal,H,VVS2,EX,EX,GIA,3707,2013-01-04
1.05,Good,F,SI1,VG,G,GIA,5249,2013-01-05
1.01,Very Good,G,IF,VG,EX,GIA,8957,2013-01-06
1.51,Ideal,G,VS2,ID,ID,AGSL,13214,2013-01-07
0.9,Very Good,E,SI1,VG,VG,GIA,4147,2013-01-08
1.04,Ideal,G,VVS2,EX,EX,GIA,8271,2013-01-09
1.09,Ideal,I,VS2,EX,EX,GIA,5463,2013-01-10
1.7,Very Good,I,VS2,VG,G,GIA,11190,2013-01-11
1.2,Ideal,G,VVS2,EX,ID,AGSL,9407,2013-01-12
0.75,Signature-Ideal,F,VVS1,ID,ID,AGSL,5288,2013-01-13
1.01,Very Good,E,VS2,G,VG,GIA,6522,2013-01-14
1.04,Ideal,G,VS2,ID,ID,AGSL,6617,2013-01-15
1.41,Ideal,G,SI1,EX,EX,GIA,8407,2013-01-16
0.86,Ideal,I,VVS2,ID,ID,AGSL,3544,2013-01-17
0.78,Ideal,E,SI1,VG,EX,GIA,3146,2013-01-18
1.22,Very Good,G,VS1,EX,VG,GIA,9261,2013-01-19
2.43,Ideal,F,IF,ID,ID,AGSL,60188,2013-01-20
1.52,Very Good,E,SI1,EX,VG,GIA,12275,2013-01-21
1.2,Good,D,SI1,VG,G,GIA,7450,2013-01-22
1.25,Ideal,H,VVS2,EX,EX,GIA,9450,2013-01-23
2.01,Very Good,H,VS2,VG,VG,GIA,18507,2013-01-24
2.01,Very Good,F,VS2,EX,VG,GIA,26369,2013-01-25
1.15,Ideal,H,VS2,ID,ID,AGSL,6682,2013-01-26
1.5,Ideal,G,VS2,ID,ID,AGSL,13135,2013-01-27
1.59,Very Good,H,VS1,VG,VG,GIA,11635,2013-01-28
1.27,Very Good,I,SI1,VG,G,GIA,6654,2013-01-29
1.01,Ideal,D,SI1,VG,VG,GIA,5982,2013-01-30
1.22,Ideal,F,VVS2,ID,ID,AGSL,11891,2013-01-31
0.9,Very Good,G,VS2,EX,EX,GIA,4400,2013-02-01
1.01,Very Good,G,SI1,VG,EX,GIA,7496,2013-02-02
0.75,Signature-Ideal,F,SI1,EX,EX,GIA,3610,2013-02-03
1.66,Signature-Ideal,D,SI1,ID,ID,AGSL,17529,2013-02-04
1.88,Ideal,I,VS2,VG,VG,GIA,12193,2013-02-05
1.35,Very Good,I,VS2,VG,VG,GIA,6961,2013-02-06
0.91,Very Good,D,SI1,EX,EX,GIA,5029,2013-02-07
0.75,Ideal,E,SI1,VG,EX,GIA,2985,2013-02-08
2.13,Very Good,F,SI1,VG,VG,GIA,21182,2013-02-09
1.02,Ideal,G,VVS2,G,G,GIA,7464,2013-02-10
1.02,Very Good,H,SI1,EX,VG,GIA,4737,2013-02-11
2.14,Very Good,G,VS1,EX,VG,GIA,28132,2013-02-12
1.03,Very Good,I,SI1,VG,G,GIA,4304,2013-02-13
1.0,Very Good,H,SI1,ID,ID,AGSL,4995,2013-02-14
2.39,Signature-Ideal,I,SI1,ID,ID,AGSL,22377,2013-02-15
0.77,Very Good,D,SI1,VG,VG,GIA,3241,2013-02-16
0.8,Very Good,F,VS2,EX,VG,GIA,3954,2013-02-17
2.8,Very Good,E,SI1,VG,G,GIA,33518,2013-02-18
2.02,Very Good,G,VS2,VG,VG,GIA,22986,2013-02-19
1.05,Ideal,G,VS2,EX,EX,GIA,7070,2013-02-20
1.01,Fair,H,VS1,EX,EX,GIA,5015,2013-02-21
1.11,Ideal,I,SI1,EX,EX,GIA,4771,2013-02-22
1.04,Ideal,E,VVS2,VG,VG,GIA,9949,2013-02-23
1.53,Ideal,H,SI1,ID,ID,AGSL,10760,2013-02-24
2.0,Good,F,SI1,VG,VG,GIA,20665,2013-02-25
2.0,Ideal,G,VS1,VG,VG,GIA,25666,2013-02-26
1.55,Ideal,E,VS2,EX,EX,GIA,17143,2013-02-27
2.01,Very Good,I,VS2,VG,EX,AGSL,18184,2013-02-28
1.16,Ideal,F,VS1,EX,EX,GIA,9348,2013-03-01
0.8,Very Good,E,SI1,EX,VG,GIA,3040,2013-03-02
1.0,Good,F,SI1,EX,VG,GIA,4759,2013-03-03
2.11,Ideal,H,VS2,VG,G,GIA,22078,2013-03-04
1.05,Very Good,H,VS2,EX,EX,GIA,5730,2013-03-05
1.5,Very Good,G,VVS2,EX,G,GIA,12798,2013-03-06
2.49,Very Good,G,VS1,VG,EX,GIA,38001,2013-03-07
1.71,Very Good,F,VS1,EX,EX,GIA,17685,2013-03-08
1.54,Good,H,SI1,EX,VG,GIA,9048,2013-03-09
2.22,Ideal,F,VVS2,EX,EX,GIA,41659,2013-03-10
2.19,Very Good,I,SI1,VG,G,GIA,14819,2013-03-11
1.0,Very Good,G,VS1,VG,VG,GIA,6549,2013-03-12
1.51,Very Good,G,SI1,VG,G,GIA,9664,2013-03-13
2.0,Very Good,F,VS1,EX,VG,GIA,30446,2013-03-14
1.02,Very Good,H,VS1,VG,G,GIA,5598,2013-03-15
2.01,Ideal,I,VS2,VG,VG,GIA,16564,2013-03-16
1.21,Very Good,F,VS2,G,VG,GIA,8353,2013-03-17
1.03,Ideal,G,VVS2,EX,EX,GIA,8493,2013-03-18
1.06,Ideal,G,VVS2,VG,VG,GIA,8218,2013-03-19
0.77,Ideal,I,SI1,VG,EX,GIA,2475,2013-03-20
2.01,Very Good,H,VS2,G,G,GIA,20061,2013-03-21
1.07,Ideal,H,VS1,EX,EX,GIA,6479,2013-03-22
1.0,Good,H,VS2,VG,G,GIA,5254,2013-03-23
1.01,Ideal,F,VS1,VG,EX,GIA,7519,2013-03-24
0.91,Good,H,SI1,G,G,GIA,3855,2013-03-25
2.01,Good,I,SI1,VG,G,GIA,15371,2013-03-26
2.0,Very Good,G,SI1,VG,VG,GIA,18818,2013-03-27
1.5,Ideal,G,VS1,EX,EX,GIA,16171,2013-03-28
0.91,Very Good,E,SI1,EX,EX,GIA,4191,2013-03-29
0.88,Ideal,F,SI1,EX,EX,GIA,4054,2013-03-30
1.2,Very Good,I,VS2,VG,VG,GIA,5869,2013-03-31
1.19,Ideal,G,VS1,EX,EX,GIA,9918,2013-04-01
1.26,Ideal,E,SI1,EX,EX,GIA,8574,2013-04-02
1.22,Signature-Ideal,H,VVS2,ID,ID,AGSL,9366,2013-04-03
1.06,Ideal,I,VS2,ID,ID,AGSL,5116,2013-04-04
0.8,Ideal,F,VS2,EX,EX,GIA,4043,2013-04-05
0.92,Good,E,VVS2,VG,G,GIA,5262,2013-04-06
1.1,Very Good,F,SI1,VG,VG,GIA,5667,2013-04-07
1.33,Very Good,F,SI1,EX,VG,GIA,8081,2013-04-08
1.51,Good,G,SI1,VG,G,GIA,10085,2013-04-09
1.01,Fair,I,VS2,VG,G,GIA,4299,2013-04-10
2.18,Good,F,VS2,G,VG,GIA,30175,2013-04-11
1.02,Ideal,G,SI1,EX,VG,GIA,5016,2013-04-12
2.08,Ideal,I,VS2,VG,VG,GIA,16950,2013-04-13
1.04,Ideal,E,VS2,EX,VG,GIA,7425,2013-04-14
2.04,Ideal,G,SI1,VG,VG,GIA,18663,2013-04-15
2.12,Ideal,E,VS2,VG,VG,GIA,30687,2013-04-16
1.27,Ideal,G,IF,VG,EX,GIA,11157,2013-04-17
1.21,Signature-Ideal,G,VS1,ID,ID,AGSL,10685,2013-04-18
0.91,Fair,G,VS2,EX,VG,GIA,5151,2013-04-19
1.21,Ideal,D,VVS2,EX,EX,GIA,12657,2013-04-20
1.04,Ideal,G,VS1,EX,EX,GIA,7375,2013-04-21
1.22,Signature-Ideal,D,VS2,ID,ID,AGSL,11704,2013-04-22
1.17,Ideal,G,VS1,VG,VG,GIA,7447,2013-04-23
1.15,Very Good,I,VS2,VG,VG,GIA,5352,2013-04-24
0.82,Ideal,F,SI1,EX,EX,GIA,3596,2013-04-25
1.25,Ideal,G,IF,ID,ID,AGSL,11511,2013-04-26
1.11,Signature-Ideal,I,SI1,ID,ID,AGSL,6090,2013-04-27
1.2,Signature-Ideal,G,VVS2,ID,ID,AGSL,11530,2013-04-28
2.5,Ideal,I,SI1,VG,VG,GIA,20009,2013-04-29
2.01,Very Good,D,VS2,VG,VG,GIA,29686,2013-04-30
2.07,Ideal,H,VS2,EX,EX,GIA,20737,2013-05-01
1.5,Ideal,G,VS1,EX,VG,GIA,14067,2013-05-02
1.5,Ideal,D,VVS1,EX,EX,GIA,25406,2013-05-03
0.75,Ideal,H,SI1,EX,VG,GIA,3017,2013-05-04
1.0,Very Good,E,VS2,EX,EX,GIA,7607,2013-05-05
0.91,Very Good,F,VS1,VG,VG,GIA,4972,2013-05-06
1.72,Very Good,G,VVS1,VG,VG,GIA,17857,2013-05-07
1.72,Ideal,G,VS2,EX,EX,GIA,16472,2013-05-08
0.9,Very Good,G,VS1,EX,ID,AGSL,5148,2013-05-09
1.51,Ideal,I,VS1,EX,EX,GIA,12055,2013-05-10
0.83,Very Good,D,VS1,G,G,AGSL,3984,2013-05-11
2.07,Good,D,VVS1,VG,G,GIA,45392,2013-05-12
1.09,Good,G,SI1,VG,VG,GIA,5672,2013-05-13
1.01,Good,G,SI1,VG,VG,GIA,4661,2013-05-14
2.05,Very Good,G,VS1,VG,VG,AGSL,29396,2013-05-15
1.04,Very Good,G,VVS2,G,VG,GIA,7481,2013-05-16
0.79,Very Good,F,SI1,EX,VG,GIA,3047,2013-05-17
1.07,Ideal,E,VVS2,EX,EX,GIA,10453,2013-05-18
1.01,Ideal,I,VS2,EX,EX,GIA,5119,2013-05-19
2.07,Ideal,G,SI1,EX,EX,GIA,21316,2013-05-20
0.77,Ideal,E,SI1,VG,VG,GIA,3000,2013-05-21
0.76,Very Good,I,VS1,EX,EX,GIA,2601,2013-05-22
0.91,Ideal,F,VS2,EX,VG,GIA,5085,2013-05-23
1.09,Ideal,F,VS1,EX,EX,GIA,8730,2013-05-24
1.28,Ideal,G,VS1,ID,ID,AGSL,9342,2013-05-25
2.1,Ideal,G,VS1,VG,VG,GIA,28482,2013-05-26
1.66,Ideal,H,VS1,EX,EX,GIA,15210,2013-05-27
0.87,Very Good,G,VS2,G,VG,GIA,3178,2013-05-28
1.51,Very Good,G,VS2,VG,VG,GIA,14530,2013-05-29
1.01,Good,G,VS2,EX,EX,GIA,5655,2013-05-30
1.28,Very Good,H,VS2,VG,VG,GIA,7169,2013-05-31
0.9,Good,G,VS2,VG,VG,GIA,3990,2013-06-01
1.01,Very Good,G,VS2,EX,EX,GIA,6406,2013-06-02
1.73,Ideal,G,VVS1,EX,VG,GIA,16153,2013-06-03
1.01,Very Good,E,SI1,G,VG,GIA,4788,2013-06-04
2.01,Very Good,F,SI1,G,VG,GIA,21558,2013-06-05
2.2,Very Good,E,VVS1,EX,VG,GIA,52558,2013-06-06
1.0,Very Good,G,IF,VG,VG,GIA,8050,2013-06-07
1.01,Ideal,F,IF,EX,VG,GIA,10688,2013-06-08
2.0,Very Good,E,VVS2,G,VG,GIA,37278,2013-06-09
1.36,Ideal,D,VS1,VG,EX,GIA,13725,2013-06-10
1.03,Ideal,D,IF,EX,EX,GIA,17991,2013-06-11
0.83,Very Good,I,VVS1,EX,EX,GIA,3774,2013-06-12
2.0,Very Good,F,VS1,VG,VG,GIA,29840,2013-06-13
1.02,Ideal,G,VS2,EX,EX,GIA,6648,2013-06-14
1.02,Ideal,H,SI1,ID,ID,AGSL,5505,2013-06-15
2.1,Ideal,G,VS1,EX,EX,GIA,28587,2013-06-16
0.79,Good,F,VS1,VG,VG,AGSL,3436,2013-06-17
2.01,Good,H,VS2,VG,G,GIA,18640,2013-06-18
1.0,Very Good,D,VS2,VG,EX,GIA,7361,2013-06-19
0.9,Very Good,D,SI1,VG,G,GIA,4537,2013-06-20
0.76,Very Good,G,VVS2,ID,ID,AGSL,3655,2013-06-21
1.52,Very Good,H,SI1,VG,VG,GIA,10010,2013-06-22
0.75,Very Good,D,SI1,VG,G,GIA,3048,2013-06-23
2.02,Good,F,VS1,G,G,GIA,27311,2013-06-24
0.77,Very Good,I,VS1,VG,VG,GIA,2750,2013-06-25
0.8,Ideal,E,VS1,VG,EX,GIA,4086,2013-06-26
1.51,Ideal,D,VS1,ID,ID,AGSL,16688,2013-06-27
1.23,Ideal,I,VS1,EX,EX,GIA,7181,2013-06-28
1.11,Ideal,F,VS2,EX,EX,GIA,7740,2013-06-29
1.29,Ideal,G,VS2,EX,VG,GIA,9465,2013-06-30
2.02,Ideal,G,VS2,EX,EX,GIA,25986,2013-07-01
1.01,Very Good,E,VS2,VG,G,GIA,6480,2013-07-02
0.83,Ideal,E,SI1,VG,VG,GIA,3538,2013-07-03
2.01,Very Good,E,VS1,VG,VG,GIA,35302,2013-07-04
1.24,Very Good,E,VS1,VG,G,GIA,10185,2013-07-05
0.9,Very Good,I,VS1,VG,VG,GIA,3844,2013-07-06
1.52,Ideal,I,SI1,ID,ID,AGSL,9067,2013-07-07
0.9,Good,E,VS2,VG,VG,GIA,4315,2013-07-08
0.76,Very Good,G,VS1,VG,G,AGSL,2818,2013-07-09
1.21,Very Good,G,VVS2,EX,VG,GIA,9358,2013-07-10
1.11,Ideal,D,VVS2,VG,VG,GIA,12016,2013-07-11
1.01,Good,F,SI1,VG,G,GIA,4816,2013-07-12
1.0,Good,G,VS2,VG,G,GIA,5081,2013-07-13
2.06,Ideal,D,VS1,EX,EX,GIA,34712,2013-07-14
1.0,Very Good,F,VVS1,VG,G,GIA,9870,2013-07-15
1.25,Ideal,G,IF,EX,EX,GIA,11233,2013-07-16
2.17,Ideal,I,SI1,EX,EX,GIA,16901,2013-07-17
2.37,Ideal,F,VS2,EX,EX,GIA,36025,2013-07-18
0.85,Ideal,I,VS1,EX,EX,GIA,3548,2013-07-19
1.0,Good,G,VS2,VG,VG,GIA,5766,2013-07-20
2.05,Ideal,G,VS1,EX,EX,GIA,28519,2013-07-21
2.41,Very Good,G,VS1,EX,EX,GIA,36644,2013-07-22
1.24,Ideal,I,SI1,EX,EX,GIA,6381,2013-07-23
0.91,Ideal,F,SI1,EX,EX,GIA,5176,2013-07-24
1.01,Very Good,G,VS1,VG,EX,GIA,7179,2013-07-25
1.01,Good,G,VS2,VG,VG,GIA,5770,2013-07-26
1.56,Ideal,I,VS2,ID,ID,AGSL,10333,2013-07-27
1.25,Signature-Ideal,E,VS1,ID,ID,AGSL,12869,2013-07-28
1.19,Signature-Ideal,F,VS1,ID,ID,AGSL,10572,2013-07-29
2.13,Ideal,G,VVS1,EX,EX,GIA,36372,2013-07-30
2.12,Ideal,G,VS2,ID,ID,AGSL,26221,2013-07-31
1.61,Ideal,F,SI1,ID,ID,AGSL,11844,2013-08-01
1.54,Very Good,E,VVS2,EX,VG,GIA,19810,2013-08-02
1.42,Very Good,G,VVS2,EX,VG,GIA,12891,2013-08-03
2.0,Ideal,H,VVS1,EX,VG,GIA,26746,2013-08-04
0.9,Very Good,F,SI1,VG,EX,GIA,3950,2013-08-05
1.02,Very Good,H,SI1,EX,EX,GIA,5259,2013-08-06
1.35,Ideal,H,IF,VG,EX,GIA,10067,2013-08-07
0.9,Very Good,G,SI1,EX,VG,GIA,3752,2013-08-08
2.0,Very Good,G,VS1,VG,VG,GIA,26869,2013-08-09
2.01,Ideal,G,SI1,VG,VG,GIA,18339,2013-08-10
1.15,Signature-Ideal,E,VS1,EX,EX,GIA,11014,2013-08-11
2.04,Ideal,I,SI1,VG,VG,GIA,16036,2013-08-12
1.01,Good,G,VS2,EX,EX,GIA,6126,2013-08-13
2.19,Ideal,G,VVS1,EX,EX,GIA,35051,2013-08-14
0.92,Good,I,SI1,G,G,GIA,3329,2013-08-15
1.39,Ideal,D,SI1,ID,ID,AGSL,9519,2013-08-16
2.02,Very Good,G,SI1,VG,G,GIA,21075,2013-08-17
1.18,Ideal,F,VVS2,ID,ID,AGSL,10324,2013-08-18
1.0,Very Good,F,VVS2,VG,VG,GIA,9248,2013-08-19
0.82,Ideal,D,VS2,EX,EX,GIA,4628,2013-08-20
1.02,Very Good,F,SI1,EX,VG,AGSL,5386,2013-08-21
0.9,Very Good,D,SI1,VG,G,GIA,4537,2013-08-22
0.75,Ideal,D,VS2,ID,ID,AGSL,3679,2013-08-23
1.57,Ideal,H,VS2,VG,EX,GIA,12004,2013-08-24
2.03,Ideal,F,VS2,EX,EX,GIA,26365,2013-08-25
1.72,Ideal,E,VS2,VG,EX,GIA,19920,2013-08-26
0.9,Ideal,F,SI1,EX,VG,GIA,4795,2013-08-27
0.88,Very Good,F,VVS2,VG,VG,GIA,5052,2013-08-28
0.75,Very Good,D,SI1,G,G,GIA,3046,2013-08-29
2.01,Good,I,VS2,VG,VG,GIA,15147,2013-08-30
1.15,Very Good,E,VS1,VG,G,GIA,8906,2013-08-31
1.24,Ideal,H,VS1,EX,EX,GIA,8299,2013-09-01
1.0,Very Good,E,SI1,VG,VG,GIA,5571,2013-09-02
1.15,Ideal,G,VS1,VG,EX,GIA,8109,2013-09-03
1.02,Good,H,SI1,VG,G,GIA,4654,2013-09-04
1.01,Fair,E,SI1,VG,VG,GIA,5085,2013-09-05
2.01,Ideal,D,VS1,VG,VG,GIA,37701,2013-09-06
1.36,Very Good,G,IF,EX,VG,GIA,12515,2013-09-07
1.11,Very Good,G,VS1,EX,EX,GIA,8129,2013-09-08
1.8,Ideal,G,VS2,EX,EX,GIA,20343,2013-09-09
1.04,Very Good,G,IF,VG,G,GIA,8225,2013-09-10
1.04,Ideal,H,SI1,EX,EX,GIA,6458,2013-09-11
1.21,Ideal,I,VS1,ID,ID,AGSL,6418,2013-09-12
0.92,Ideal,H,SI1,EX,EX,GIA,4325,2013-09-13
0.82,Ideal,I,VS2,VG,VG,GIA,2759,2013-09-14
1.01,Good,E,SI1,EX,VG,GIA,4713,2013-09-15
1.24,Ideal,H,VVS1,ID,ID,AGSL,8693,2013-09-16
0.77,Good,I,VS1,VG,G,AGSL,2184,2013-09-17
0.93,Very Good,G,VS2,VG,VG,GIA,5181,2013-09-18
0.81,Ideal,E,SI1,EX,VG,GIA,3109,2013-09-19
1.24,Ideal,G,VS2,EX,VG,GIA,8797,2013-09-20
2.01,Ideal,F,VS2,VG,VG,GIA,27241,2013-09-21
0.9,Fair,D,SI1,VG,VG,GIA,4105,2013-09-22
1.81,Ideal,G,VVS2,EX,EX,GIA,24561,2013-09-23
0.81,Good,I,VS1,G,G,GIA,3042,2013-09-24
2.0,Very Good,D,VS1,EX,VG,GIA,30542,2013-09-25
0.9,Very Good,D,SI1,EX,VG,GIA,4799,2013-09-26
2.01,Very Good,F,SI1,G,VG,GIA,19789,2013-09-27
1.05,Very Good,G,SI1,ID,ID,AGSL,5197,2013-09-28
1.24,Very Good,G,VS1,VG,EX,GIA,9738,2013-09-29
0.9,Good,H,VS1,VG,VG,GIA,3796,2013-09-30
2.15,Ideal,I,VS2,EX,EX,GIA,19592,2013-10-01
0.82,Very Good,I,SI1,G,VG,GIA,2602,2013-10-02
1.1,Good,G,SI1,VG,VG,GIA,5468,2013-10-03
1.35,Ideal,H,SI1,VG,G,GIA,7780,2013-10-04
1.0,Very Good,F,VS2,EX,EX,GIA,6267,2013-10-05
0.75,Very Good,D,VVS1,G,VG,GIA,5239,2013-10-06
1.09,Very Good,F,SI1,VG,G,GIA,5463,2013-10-07
1.22,Ideal,G,VS1,ID,ID,AGSL,9339,2013-10-08
0.84,Very Good,I,VVS2,EX,ID,AGSL,3392,2013-10-09
1.8,Very Good,I,SI1,VG,G,GIA,11793,2013-10-10
1.14,Very Good,H,VS2,VG,VG,GIA,6103,2013-10-11
1.07,Signature-Ideal,F,SI1,EX,EX,GIA,7357,2013-10-12
1.23,Ideal,I,SI1,EX,EX,GIA,6449,2013-10-13
2.01,Good,I,VS2,EX,EX,GIA,16304,2013-10-14
1.03,Ideal,E,VVS2,VG,VG,GIA,9712,2013-10-15
1.07,Signature-Ideal,G,VS1,ID,ID,AGSL,8456,2013-10-16
1.68,Ideal,G,VS1,VG,EX,GIA,16985,2013-10-17
1.01,Ideal,D,VVS2,ID,ID,AGSL,11082,2013-10-18
1.29,Ideal,D,VS2,EX,EX,GIA,11182,2013-10-19
1.23,Very Good,G,VS1,G,G,GIA,8494,2013-10-20
1.01,Very Good,I,SI1,EX,VG,GIA,4794,2013-10-21
1.01,Ideal,I,VS1,EX,VG,GIA,5182,2013-10-22
2.06,Ideal,E,SI1,VG,G,GIA,24226,2013-10-23
1.2,Good,I,VS1,VG,VG,GIA,5600,2013-10-24
1.01,Very Good,H,SI1,VG,VG,GIA,4868,2013-10-25
1.5,Ideal,G,VS2,ID,ID,AGSL,13135,2013-10-26
0.77,Very Good,D,VS2,G,VG,GIA,3787,2013-10-27
1.61,Very Good,G,SI1,VG,G,GIA,12028,2013-10-28
1.01,Very Good,E,VS2,EX,EX,GIA,6754,2013-10-29
1.01,Good,G,VS2,EX,G,AGSL,5614,2013-10-30
2.02,Very Good,I,VS2,G,G,GIA,15759,2013-10-31
0.9,Good,F,VS2,VG,EX,GIA,4268,2013-11-01
0.76,Signature-Ideal,I,VS2,EX,EX,GIA,3075,2013-11-02
0.78,Ideal,G,VS1,EX,EX,GIA,3147,2013-11-03
1.11,Very Good,D,VVS1,VG,VG,GIA,12200,2013-11-04
1.57,Ideal,E,VVS2,VG,VG,GIA,21465,2013-11-05
1.23,Very Good,G,VVS2,EX,EX,GIA,9999,2013-11-06
2.39,Ideal,I,VS1,EX,EX,GIA,23625,2013-11-07
1.02,Very Good,H,SI1,VG,VG,GIA,4508,2013-11-08
